name,group,sensitivity,type,default,default_redacted,target
ACCESS_TOKEN_EXPIRE_MINUTES,sicurezza,segreta,int,,True,configure_if_consumed
ADER_MICRO_RESIDUAL_THRESHOLD_CENTS,azienda-fiscale,configurazione,int,500,False,configure_if_consumed
ADMIN_EMAIL,sicurezza,configurazione,,,False,configure_if_consumed
ADMIN_PASSWORD,sicurezza,segreta,,,True,configure_if_consumed
ADMIN_PASSWORD_HASH,sicurezza,segreta,,,True,configure_if_consumed
ADMIN_PIN,sicurezza,segreta,,,True,configure_if_consumed
AI_L2_MAX_FINANCIAL_IMPACT,app-runtime,configurazione,,,False,configure_if_consumed
AI_L2_MIN_CONFIDENCE,app-runtime,configurazione,,,False,configure_if_consumed
ALGORITHM,app-runtime,configurazione,str,'HS256',False,configure_if_consumed
ALLOWED_EXTENSIONS,sicurezza,configurazione,str,"'.xml,.xlsx,.xls,.pdf,.csv'",False,configure_if_consumed
ALLOWED_HEADERS,sicurezza,configurazione,str,'*',False,configure_if_consumed
ALLOWED_METHODS,sicurezza,configurazione,str,'*',False,configure_if_consumed
ALLOWED_ORIGINS,sicurezza,configurazione,str,'*',False,configure_if_consumed
ALLOW_CREDENTIALS,sicurezza,configurazione,bool,True,False,configure_if_consumed
ANTHROPIC_API_KEY,ai,segreta,,,True,configure_if_consumed
ANTHROPIC_DOCUMENT_MODEL,ai,configurazione,,,False,configure_if_consumed
ANTHROPIC_MODEL,ai,configurazione,,,False,configure_if_consumed
APP_NAME,app-runtime,configurazione,str,'Azienda in Cloud ERP',False,configure_if_consumed
APP_VERSION,app-runtime,configurazione,str,'2.0.0',False,configure_if_consumed
AUDIT_BASE_URL,app-runtime,configurazione,,,False,configure_if_consumed
AUTH_TOKEN,test-tooling,segreta,,,True,configure_if_consumed
AZIENDA_BANCA,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_BIC,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_CAP,azienda-fiscale,configurazione,,,False,configure_if_consumed
